epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,2.490715503692627,0.0910389719152809,2.4796804934740067,0.09092524088919163
2,2.3569462299346924,0.1077218005307635,2.3232807964086533,0.1570135885849595
3,2.2560179233551025,0.15889432264449901,2.1913846284151077,0.18577439337968826
4,2.084531545639038,0.18550381512570202,2.1045742481946945,0.19999999925494194
5,2.019440174102783,0.21189975066292555,2.0251492857933044,0.2326410822570324
6,1.799206018447876,0.2229922662552138,1.914155013859272,0.24380609951913357
7,1.9477581977844238,0.2613971700569741,1.824585735797882,0.2688871342688799
8,1.702655553817749,0.2843378638862667,1.736851952970028,0.31326878257095814
9,1.6766654253005981,0.3041717775334093,1.7001217976212502,0.3040568884462118
10,1.593582272529602,0.32900959365349963,1.6207743883132935,0.3529026750475168
11,1.7194658517837524,0.34669001680567746,1.56468615680933,0.3669755645096302
12,1.8041363954544067,0.3612766024985708,1.5244424641132355,0.3915205281227827
13,1.8677247762680054,0.38006463467626644,1.5193354785442352,0.3851728718727827
14,1.563291072845459,0.39295819670634163,1.4667046815156937,0.4091641027480364
15,1.420147180557251,0.41092485592777567,1.442368134856224,0.4313808996230364
16,1.4350650310516357,0.42175204301238955,1.402248576283455,0.44911174289882183
17,1.2546194791793823,0.43410748131293103,1.354295790195465,0.4540600050240755
18,1.332748532295227,0.4419692638225125,1.3318521156907082,0.4792937580496073
19,1.269381046295166,0.45393293199682594,1.3265127837657928,0.48171334713697433
20,1.403265357017517,0.46220490314010393,1.3052299171686172,0.49145299941301346
21,1.2714643478393555,0.4691562061022995,1.2762645706534386,0.5002856962382793
22,1.267505168914795,0.47705631932817905,1.2545730993151665,0.5117384865880013
23,1.423435091972351,0.4846731832152919,1.238451860845089,0.5110455453395844
24,1.2927143573760986,0.48848186399703636,1.2279788628220558,0.5258290395140648
25,1.2684553861618042,0.4927803820237181,1.206629864871502,0.5277603454887867
