epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.8971952199935913,0.19601987627215853,1.7716251611709595,0.31758020259439945
2,1.4747549295425415,0.44440749668537227,1.283205509185791,0.541837390512228
3,1.1705845594406128,0.5860614525644403,1.1278099343180656,0.6110735945403576
4,1.0470300912857056,0.6443515437886231,0.9227495305240154,0.6876859627664089
5,1.0214227437973022,0.6989121042696157,0.8297275565564632,0.7286319807171822
6,1.1259663105010986,0.7355662396079615,0.7757717333734035,0.7417677827179432
7,0.7029016017913818,0.756195142304987,0.6980390697717667,0.7751672603189945
8,0.7389635443687439,0.7760195974120521,0.6418230198323727,0.7853775322437286
9,0.4744510352611542,0.7942107651466713,0.6187872067093849,0.8025328293442726
10,0.4998833239078522,0.8054989168518468,0.5634002387523651,0.8138069286942482
11,0.5710617303848267,0.8123909813120849,0.5437704212963581,0.8200195282697678
12,0.5378661751747131,0.8262238950657665,0.5102448463439941,0.8372184559702873
13,0.609612762928009,0.8291509693726561,0.5004559513181448,0.8315814062952995
14,0.36302536725997925,0.8366996345663429,0.47827642038464546,0.8423890434205532
15,0.3236547112464905,0.8436121089117867,0.49951091781258583,0.8374407812952995
16,0.27442803978919983,0.847694580716298,0.4703593272715807,0.8468053936958313
17,0.3384668827056885,0.8559277232428243,0.46961803175508976,0.8504893183708191
18,0.18000248074531555,0.8598150566108245,0.44045903347432613,0.8570811152458191
19,0.2596701383590698,0.8627615450020123,0.4247003309428692,0.8630059398710728
20,0.38346725702285767,0.8668529772220698,0.4458402581512928,0.8531966805458069
21,0.3098847270011902,0.869115486180872,0.4392150267958641,0.856148187071085
22,0.3584444224834442,0.8769668143494684,0.4258511792868376,0.861763421446085
23,0.403845876455307,0.8775243526114557,0.4232019670307636,0.8652250245213509
24,0.5754433870315552,0.881028876268774,0.4197046421468258,0.8639170527458191
25,0.30427807569503784,0.882360993919516,0.41635590977966785,0.8648458272218704
