epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,2.3961870670318604,0.08830803173377101,2.4009893238544464,0.09105614200234413
2,2.3744378089904785,0.09356481777994256,2.407904326915741,0.08582010446116328
3,2.3995237350463867,0.09171448883257415,2.4065166413784027,0.09968833066523075
4,2.4169704914093018,0.09288930086264933,2.404559761285782,0.09769157227128744
5,2.4172115325927734,0.0904610241042044,2.4050730764865875,0.08628656901419163
6,2.3783559799194336,0.0893260362116914,2.409676730632782,0.08628656901419163
7,2.401048421859741,0.09343738052853964,2.402909576892853,0.0913657327182591
8,2.4055330753326416,0.09107829820840879,2.407774195075035,0.08586373832076788
9,2.412874937057495,0.0899034861783336,2.4208166748285294,0.09744743164628744
10,2.417243719100952,0.09053917898607433,2.4045649617910385,0.08903756644576788
11,2.3862719535827637,0.09132321666281923,2.4006308019161224,0.08910301700234413
12,2.406982183456421,0.08982483353605844,2.402076542377472,0.08903756644576788
13,2.3917181491851807,0.09420150613650344,2.4013511538505554,0.09744743164628744
14,2.395165205001831,0.09334976741469893,2.40204194188118,0.08628656901419163
15,2.4106879234313965,0.09102901586688551,2.402618020772934,0.09744743164628744
16,2.405261754989624,0.09424033469723579,2.400922507047653,0.09744743164628744
17,2.396143913269043,0.09270362079815757,2.401126950979233,0.09744743164628744
18,2.4129974842071533,0.09200819184009294,2.4038791060447693,0.09105614200234413
19,2.4023749828338623,0.09243879030297573,2.400170236825943,0.09744743164628744
20,2.386866569519043,0.0920968005307635,2.403944507241249,0.0913657327182591
21,2.396336793899536,0.09153826702806286,2.401819571852684,0.0913657327182591
22,2.3952364921569824,0.09274244935888994,2.399608075618744,0.09968833066523075
23,2.4011878967285156,0.09216499933622833,2.399578884243965,0.09744743164628744
24,2.402681350708008,0.09315313575299163,2.399840995669365,0.08628656901419163
25,2.3904402256011963,0.09129384636206735,2.3995659798383713,0.09105614200234413
